ID;category;subcategory_1;subcategory_2;subcategory_3;fuel;capacity_min;capacity_max;distance_min;distance_max;city_size_min;city_size_max;country;city;value;unit;incertainties;DB_source;source;source_date
1;Transport;Passenger;Rail;Train;;;;;;;;France;;0.0056;kgCO2e/passager.km;60%;ADEME;ADEME;2014
2;Transport;Passenger;Rail;TGV;;;;;;;;France;;0.00369;kgCO2e/passager.km;60%;ADEME;ADEME;2014
3;Transport;Passenger;Rail;TER;electric;;;;;;;France;;0.00891;kgCO2e/passager.km;60%;ADEME;ADEME;2014
4;Transport;Passenger;Rail;TER;diesel;;;;;;;France;;0.0798;kgCO2e/passager.km;60%;ADEME;ADEME;2014
5;Transport;Passenger;Rail;Metro;;;;;;;;France;Paris;0.0057;kgCO2e/passager.km;20%;ADEME;ADEME;2014
6;Transport;Passenger;Rail;RER;;;;;;;;France;Paris;0.0057;kgCO2e/passager.km;20%;ADEME;ADEME;2014
7;Transport;Passenger;Rail;Tramway;;;;;;;;France;Paris;0.006;kgCO2e/passager.km;20%;ADEME;ADEME;2014
8;Transport;Passenger;Rail;Metro;;;;;;0;250;France;;0.00681;kgCO2e/passager.km;60%;ADEME;ADEME;2014
9;Transport;Passenger;Rail;RER;;;;;;0;250;France;;0.00681;kgCO2e/passager.km;60%;ADEME;ADEME;2014
10;Transport;Passenger;Rail;Tramway;;;;;;0;250;France;;0.00681;kgCO2e/passager.km;60%;ADEME;ADEME;2014
11;Transport;Passenger;Rail;Metro;;;;;;250;100000;France;;0.00663;kgCO2e/passager.km;60%;ADEME;ADEME;2014
12;Transport;Passenger;Rail;RER;;;;;;250;100000;France;;0.00663;kgCO2e/passager.km;60%;ADEME;ADEME;2014
13;Transport;Passenger;Rail;Tramway;;;;;;250;100000;France;;0.00663;kgCO2e/passager.km;60%;ADEME;ADEME;2014
14;Transport;Passenger;Air;Plane;;250;999;3000;4000;;;World;;0.251;kgCO2e/passager.km;50%;ADEME;ADEME;2014
15;Transport;Passenger;Air;Plane;;250;999;4000;5000;;;World;;0.258;kgCO2e/passager.km;50%;ADEME;ADEME;2014
16;Transport;Passenger;Air;Plane;;250;999;5000;6000;;;World;;0.223;kgCO2e/passager.km;50%;ADEME;ADEME;2014
17;Transport;Passenger;Air;Plane;;250;999;6000;7000;;;World;;0.209;kgCO2e/passager.km;50%;ADEME;ADEME;2014
18;Transport;Passenger;Air;Plane;;250;999;7000;8000;;;World;;0.209;kgCO2e/passager.km;50%;ADEME;ADEME;2014
19;Transport;Passenger;Air;Plane;;250;999;8000;9000;;;World;;0.23;kgCO2e/passager.km;50%;ADEME;ADEME;2014
20;Transport;Passenger;Air;Plane;;250;999;9000;10000;;;World;;0.223;kgCO2e/passager.km;50%;ADEME;ADEME;2014
21;Transport;Passenger;Air;Plane;;250;999;10000;11000;;;World;;0.216;kgCO2e/passager.km;50%;ADEME;ADEME;2014
22;Transport;Passenger;Air;Plane;;250;999;11000;100000;;;World;;0.223;kgCO2e/passager.km;50%;ADEME;ADEME;2014
23;Transport;Passenger;Air;Plane;;180;250;0;1000;;;World;;0.293;kgCO2e/passager.km;50%;ADEME;ADEME;2014
24;Transport;Passenger;Air;Plane;;180;250;1000;2000;;;World;;0.216;kgCO2e/passager.km;50%;ADEME;ADEME;2014
25;Transport;Passenger;Air;Plane;;180;250;2000;3000;;;World;;0.209;kgCO2e/passager.km;50%;ADEME;ADEME;2014
26;Transport;Passenger;Air;Plane;;180;250;3000;4000;;;World;;0.23;kgCO2e/passager.km;50%;ADEME;ADEME;2014
27;Transport;Passenger;Air;Plane;;180;250;4000;5000;;;World;;0.307;kgCO2e/passager.km;50%;ADEME;ADEME;2014
28;Transport;Passenger;Air;Plane;;180;250;5000;6000;;;World;;0.23;kgCO2e/passager.km;50%;ADEME;ADEME;2014
29;Transport;Passenger;Air;Plane;;180;250;6000;7000;;;World;;0.223;kgCO2e/passager.km;50%;ADEME;ADEME;2014
30;Transport;Passenger;Air;Plane;;180;250;7000;8000;;;World;;0.202;kgCO2e/passager.km;50%;ADEME;ADEME;2014
31;Transport;Passenger;Air;Plane;;180;250;8000;9000;;;World;;0.223;kgCO2e/passager.km;50%;ADEME;ADEME;2014
