Code,AirportName,City,Country,latitude,longitude,geoloc,city_sky,bigger_city
ANR,DEURNE,ANTWERP,BELGIUM,51.19,4.463,"[51.19, 4.463]",ANTW-sky,TRUE
BRU,BRUSSELS NATL,BRUSSELS,BELGIUM,50.902,4.499,"[50.902, 4.499]",BRUS-sky,FALSE
CRL,BRUSSELS SOUTH,CHARLEROI,BELGIUM,50.459,4.454,"[50.458999999999996, 4.454]",BRUS-sky,FALSE
LGG,LIEGE,LIEGE,BELGIUM,50.637,5.443,"[50.637, 5.443]",LIEG-sky,FALSE
OST,OOSTENDE,OSTEND,BELGIUM,51.199,2.862,"[51.199, 2.862]",OSTA-sky,FALSE
SXF,SCHONEFELD,BERLIN,GERMANY,52.38,13.523,"[52.38, 13.523]",BERL-sky,TRUE
DRS,DRESDEN,DRESDEN,GERMANY,51.133,13.767,"[51.133, 13.767000000000001]",DRES-sky,TRUE
ERF,ERFURT,ERFURT,GERMANY,50.98,10.958,"[50.98, 10.958]",ERFU-sky,FALSE
FRA,FRANKFURT MAIN,FRANKFURT,GERMANY,50.026,8.543,"[50.026, 8.543]",FRAN-sky,TRUE
FMO,MUNSTER OSNABRUCK,MUENSTER/OSNABRUECK,GERMANY,52.134,7.685,"[52.13399999999999, 7.685]",MUNS-sky,FALSE
HAM,HAMBURG,HAMBURG,GERMANY,53.63,9.988,"[53.63, 9.988]",HAMB-sky,TRUE
CGN,KOLN BONN,COLOGNE,GERMANY,50.866,7.143,"[50.86600000000001, 7.143]",COLO-sky,TRUE
DUS,DUSSELDORF,DUESSELDORF,GERMANY,51.289,6.767,"[51.288999999999994, 6.767]",DUSS-sky,FALSE
MUC,MUNICH,MUNICH,GERMANY,48.354,11.786,"[48.354, 11.786]",MUNI-sky,TRUE
NUE,NURNBERG,NUERNBERG,GERMANY,49.499,11.078,"[49.498999999999995, 11.078]",NURE-sky,FALSE
LEJ,LEIPZIG HALLE,LEIPZIG,GERMANY,51.424,12.236,"[51.424, 12.235999999999999]",LEIP-sky,TRUE
SCN,SAARBRUCKEN,SAARBRUECKEN,GERMANY,49.214,7.109,"[49.214, 7.109]",SAAR-sky,FALSE
STR,STUTTGART,STUTTGART,GERMANY,48.69,9.222,"[48.69, 9.222000000000001]",STUT-sky,TRUE
TXL,TEGEL,BERLIN,GERMANY,52.559,13.287,"[52.559, 13.287]",BERL-sky,TRUE
HAJ,HANNOVER,HANNOVER,GERMANY,52.461,9.685,"[52.461000000000006, 9.685]",HANN-sky,FALSE
BRE,BREMEN,BREMEN,GERMANY,53.047,8.787,"[53.047, 8.787]",BREM-sky,TRUE
HHN,FRANKFURT HAHN,HAHN,GERMANY,49.95,7.264,"[49.95, 7.263999999999999]",FRAN-sky,FALSE
MHG,MANNHEIM CITY,MANNHEIM,GERMANY,49.473,8.514,"[49.473, 8.514]",MANN-sky,TRUE
KEL,KIEL HOLTENAU,KIEL,GERMANY,54.379,10.145,"[54.379, 10.145]",KIEL-sky,FALSE
ESS,ESSEN MULHEIM,ESSEN,GERMANY,51.401,6.936,"[51.401, 6.936]",ESSE-sky,TRUE
PAD,PADERBORN LIPPSTADT,PADERBORN,GERMANY,51.614,8.616,"[51.614, 8.616]",PADE-sky,FALSE
DTM,DORTMUND,DORTMUND,GERMANY,51.518,7.612,"[51.518, 7.612]",DORT-sky,TRUE
AGB,AUGSBURG,AUGSBURG,GERMANY,48.425,10.932,"[48.425, 10.932]",AUGS-sky,FALSE
FDH,FRIEDRICHSHAFEN,FRIEDRICHSHAFEN,GERMANY,47.671,9.511,"[47.67100000000001, 9.511000000000001]",FRIE-sky,FALSE
BWE,BRAUNSCHWEIG,BRAUNSCHWEIG,GERMANY,52.319,10.556,"[52.318999999999996, 10.556]",BRAU-sky,FALSE
KSF,KASSEL CALDEN,KASSEL,GERMANY,51.408,9.378,"[51.408, 9.378]",KASS-sky,FALSE
BMK,BORKUM,BORKUM,GERMANY,53.595,6.709,"[53.595, 6.709]",BORK-sky,FALSE
GWT,WESTERLAND SYLT,WESTERLAND,GERMANY,54.913,8.34,"[54.913000000000004, 8.34]",WEST-sky,FALSE
ENF,ENONTEKIO,ENONTEKIO,FINLAND,68.362,23.424,"[68.362, 23.424]",ENON-sky,FALSE
HEL,HELSINKI VANTAA,HELSINKI,FINLAND,60.32,24.956,"[60.32, 24.956]",HELS-sky,TRUE
IVL,IVALO,IVALO,FINLAND,68.607,27.405,"[68.607, 27.405]",IVAL-sky,FALSE
JOE,JOENSUU,JOENSUU,FINLAND,62.659,29.624,"[62.659, 29.624000000000002]",JOEN-sky,FALSE
JYV,JYVASKYLA,JYVASKYLA,FINLAND,62.399,25.678,"[62.398999999999994, 25.678]",JYVA-sky,FALSE
KEM,KEMI TORNIO,KEMI,FINLAND,65.782,24.599,"[65.782, 24.599]",KEMI-sky,FALSE
KAJ,KAJAANI,KAJAANI,FINLAND,64.285,27.692,"[64.285, 27.691999999999997]",KAJA-sky,FALSE
KOK,KRUUNUPYY,KRUUNUPYY,FINLAND,63.721,23.143,"[63.721000000000004, 23.143]",KOKK-sky,FALSE
KAO,KUUSAMO,KUUSAMO,FINLAND,65.987,29.239,"[65.987, 29.239]",KUUS-sky,FALSE
KTT,KITTILA,KITTILA,FINLAND,67.701,24.847,"[67.70100000000001, 24.846999999999998]",KITT-sky,FALSE
KUO,KUOPIO,KUOPIO,FINLAND,63.007,27.798,"[63.007, 27.798000000000002]",KUOP-sky,FALSE
LPP,LAPPEENRANTA,LAPPEENRANTA,FINLAND,61.044,28.144,"[61.044, 28.144000000000002]",LAPP-sky,FALSE
MHQ,MARIEHAMN,MARIEHAMN,FINLAND,60.122,19.898,"[60.122, 19.898]",MARJ-sky,FALSE
OUL,OULU,OULU,FINLAND,64.93,25.354,"[64.93, 25.354]",OULU-sky,FALSE
POR,PORI,PORI,FINLAND,61.462,21.8,"[61.461999999999996, 21.8]",PORI-sky,FALSE
RVN,ROVANIEMI,ROVANIEMI,FINLAND,66.565,25.83,"[66.565, 25.83]",ROVA-sky,FALSE
SVL,SAVONLINNA,SAVONLINNA,FINLAND,61.943,28.945,"[61.943000000000005, 28.945]",SAVO-sky,FALSE
TMP,TAMPERE PIRKKALA,TAMPERE,FINLAND,61.414,23.604,"[61.413999999999994, 23.604]",TAMP-sky,FALSE
TKU,TURKU,TURKU,FINLAND,60.514,22.263,"[60.513999999999996, 22.263]",TURK-sky,FALSE
VAA,VAASA,VAASA,FINLAND,63.051,21.761,"[63.051, 21.761]",VAAS-sky,FALSE
BHX,BIRMINGHAM,BIRMINGHAM,ENGLAND,52.454,-1.748,"[52.45399999999999, -1.7480000000000002]",BIRM-sky,TRUE
MAN,MANCHESTER,MANCHESTER,ENGLAND,53.354,-2.275,"[53.354, -2.275]",MANC-sky,TRUE
NQY,ST MAWGAN,NEWQUAI,ENGLAND,50.441,-4.995,"[50.441, -4.995]",NEWQ-sky,FALSE
SWS,SWANSEA,SWANSEA,ENGLAND,51.605,-4.068,"[51.605, -4.0680000000000005]",SWAN-sky,FALSE
BRS,BRISTOL,BRISTOL,ENGLAND,51.383,-2.719,"[51.383, -2.719]",BRIS-sky,TRUE
LPL,LIVERPOOL,LIVERPOOL,ENGLAND,53.334,-2.85,"[53.333999999999996, -2.85]",LIVE-sky,TRUE
LTN,LUTON,LONDON,ENGLAND,51.874,-0.368,"[51.873999999999995, -0.368]",LOND-sky,TRUE
PLH,PLYMOUTH,PLYMOUTH,ENGLAND,50.423,-4.106,"[50.423, -4.106]",PLYM-sky,FALSE
BOH,BOURNEMOUTH,BOURNEMOUTH,ENGLAND,50.78,-1.843,"[50.78, -1.8430000000000002]",BOUR-sky,FALSE
SOU,SOUTHAMPTON,SOUTHAMPTON,ENGLAND,50.95,-1.357,"[50.95, -1.357]",SOUT-sky,FALSE
JER,JERSEY,JERSEY,ENGLAND,49.208,-2.195,"[49.208, -2.195]",JERS-sky,FALSE
LGW,GATWICK,LONDON,ENGLAND,51.148,-0.19,"[51.148, -0.19]",LOND-sky,TRUE
LCY,CITY,LONDON,ENGLAND,51.505,0.054,"[51.505, 0.054000000000000006]",LOND-sky,TRUE
SEN,SOUTHEND,SOUTHEND,ENGLAND,51.571,0.696,"[51.571000000000005, 0.696]",LOND-sky,FALSE
CAX,CARLISLE,CARLISLE,ENGLAND,54.938,-2.809,"[54.938, -2.8089999999999997]",CAXA-sky,FALSE
HUY,HUMBERSIDE,HUMBERSIDE,ENGLAND,53.574,-0.351,"[53.574, -0.35100000000000003]",HUMB-sky,FALSE
LBA,LEEDS BRADFORD,LEEDS,ENGLAND,53.866,-1.661,"[53.86600000000001, -1.661]",LEED-sky,TRUE
IOM,ISLE OF MAN,ISLE OF MAN,ENGLAND,54.083,-4.624,"[54.083, -4.624]",CAST-sky,FALSE
NCL,NEWCASTLE,NEWCASTLE,ENGLAND,55.038,-1.692,"[55.038000000000004, -1.692]",NEWC-sky,FALSE
MME,TEESSIDE,TEESSIDE,ENGLAND,54.509,-1.429,"[54.50899999999999, -1.429]",MMEA-sky,FALSE
EMA,EAST MIDLANDS,EAST MIDLANDS,ENGLAND,52.831,-1.328,"[52.831, -1.328]",NOTT-sky,FALSE
KOI,KIRKWALL,KIRKWALL,SCOTLAND,58.958,-2.905,"[58.958, -2.905]",ORKN-sky,FALSE
NWI,NORWICH,NORWICH,ENGLAND,52.676,1.283,"[52.676, 1.2830000000000001]",NORW-sky,FALSE
STN,STANSTED,LONDON,ENGLAND,51.885,0.235,"[51.885, 0.235]",LOND-sky,TRUE
EXT,EXETER,EXETER,ENGLAND,50.734,-3.414,"[50.733999999999995, -3.4139999999999997]",EXET-sky,FALSE
AMS,SCHIPHOL,AMSTERDAM,NETHERLANDS,52.309,4.764,"[52.309, 4.763999999999999]",AMST-sky,TRUE
MST,MAASTRICHT,MAASTRICHT,NETHERLANDS,50.911,5.77,"[50.911, 5.77]",MAAS-sky,FALSE
EIN,EINDHOVEN,EINDHOVEN,NETHERLANDS,51.45,5.374,"[51.45, 5.374]",EIND-sky,FALSE
GRQ,EELDE,GRONINGEN,NETHERLANDS,53.119,6.579,"[53.119, 6.579]",GRON-sky,FALSE
RTM,ROTTERDAM,ROTTERDAM,NETHERLANDS,51.957,4.442,"[51.957, 4.442]",ROTT-sky,TRUE
ORK,CORK,CORK,IRELAND,51.843,-8.492,"[51.843, -8.492]",CORK-sky,FALSE
DUB,DUBLIN,DUBLIN,IRELAND,53.421,-6.27,"[53.42100000000001, -6.27]",DUBL-sky,TRUE
NOC,CONNAUGHT,CONNAUGHT,IRELAND,53.91,-8.818,"[53.91, -8.818]",KNOC-sky,FALSE
KIR,KERRY,KERRY,IRELAND,52.181,-9.524,"[52.181000000000004, -9.524]",KERR-sky,FALSE
SNN,SHANNON,SHANNON,IRELAND,52.702,-8.925,"[52.702, -8.925]",SHAN-sky,FALSE
AAR,AARHUS,AARHUS,DENMARK,56.304,10.619,"[56.303999999999995, 10.619000000000002]",AARH-sky,FALSE
BLL,BILLUND,BILLUND,DENMARK,55.74,9.152,"[55.74, 9.152000000000001]",BILL-sky,FALSE
CPH,KASTRUP,COPENHAGEN,DENMARK,55.618,12.656,"[55.618, 12.655999999999999]",COPE-sky,TRUE
EBJ,ESBJERG,ESBJERG,DENMARK,55.526,8.553,"[55.526, 8.552999999999999]",ESBJ-sky,FALSE
KRP,KARUP,KARUP,DENMARK,56.297,9.124,"[56.297, 9.124]",KARU-sky,FALSE
ODE,ODENSE,ODENSE,DENMARK,55.476,10.329,"[55.476000000000006, 10.329]",ODEN-sky,FALSE
RKE,ROSKILDE,COPENHAGEN,DENMARK,55.586,12.131,"[55.586000000000006, 12.130999999999998]",COPE-sky,TRUE
RNN,BORNHOLM RONNE,RONNE,DENMARK,55.063,14.759,"[55.063, 14.759]",RONO-sky,FALSE
SGD,SONDERBORG,SOENDERBORG,DENMARK,54.964,9.792,"[54.964, 9.792]",SOND-sky,FALSE
AAL,AALBORG,AALBORG,DENMARK,57.093,9.849,"[57.093, 9.849]",AALB-sky,FALSE
AES,VIGRA,ALESUND,NORWAY,62.56,6.11,"[62.56, 6.11]",AALE-sky,FALSE
ANX,ANDOYA,ANDOYA,NORWAY,69.293,16.144,"[69.293, 16.144000000000002]",ANDE-sky,FALSE
ALF,ALTA,ALTA,NORWAY,69.977,23.366,"[69.977, 23.366]",ALTA-sky,FALSE
BNN,BRONNOY,BRONNOYSUND,NORWAY,65.459,12.214,"[65.459, 12.214]",BRON-sky,FALSE
BOO,BODO,BODOE,NORWAY,67.269,14.363,"[67.26899999999999, 14.363]",BODO-sky,FALSE
BGO,BERGEN FLESLAND,BERGEN,NORWAY,60.293,5.218,"[60.293, 5.218]",BERI-sky,FALSE
BJF,BATSFJORD,BATSFJORD,NORWAY,70.6,29.692,"[70.6, 29.691999999999997]",BATS-sky,FALSE
